cat,x,y
0,2026,6027
1,3025,6023
2,1518,5518
3,2516,5514
4,3530,5511
5,1024,5041
6,2022,5037
7,3021,5033
8,4019,5029
9,515,4532
10,1514,4528
11,2512,4524
12,3511,4520
13,4525,4517
14,1020,4019
15,2019,4015
16,3018,4011
17,4016,4008
18,5015,4004
19,511,3542
20,1510,3537
21,2508,3533
22,3507,3529
23,4506,3526
24,5505,3522
25,17,3033
26,1016,3029
27,2015,3025
28,3014,3021
29,4013,3017
30,5012,3014
31,506,2551
32,1506,2515
33,2505,2511
34,3504,2508
35,4503,2504
36,5503,2501
37,12,2043
38,3010,2030
39,4009,2026
40,5009,2023
41,4500,1514
42,5499,1510
43,1012,2043
44,2012,2043
45,500,1513
46,1500,1513
47,2500,1514
48,3500,1514
49,6,998
50,1006,998
51,2006,998
52,3006,998
53,4006,998
54,5006,998
55,746,1318
56,1496,514
57,2496,514
58,3496,514
59,4496,514
60,5496,514
61,3987,0
62,4987,0
63,1614,4867
64,2018,5518
65,3016,5514
66,1019,4526
67,2522,5037
68,3521,5033
69,676,4614
70,2014,4528
71,3012,4524
72,4011,4520
73,1520,4019
74,2519,4015
75,3518,4011
76,4516,4008
77,1011,3542
78,2010,3537
79,3008,3533
80,4007,3529
81,5006,3526
82,517,3033
83,1516,3029
84,2515,3029
85,3514,3021
86,4513,3017
87,5512,3014
88,7,2556
89,1006,2551
90,2006,2516
91,3005,2512
92,4004,2508
93,5003,2504
94,512,2043
95,3510,2030
96,5509,2023
97,5000,1514
98,1512,2043
99,2512,2043
100,0,1514
101,1244,1257
102,2000,1513
103,3000,1513
104,4000,1513
105,506,1002
106,1506,998
107,2506,998
108,3506,998
109,4506,998
110,5506,998
111,2029,509
112,2996,514
113,4996,514
114,5487,0
