cat,date,oil
0,1987-12-05,50
0,1987-12-06,50
0,1987-12-07,50
0,1987-12-08,50
0,1987-12-09,50
0,1987-12-10,50
0,1987-12-11,50
0,1987-12-12,50
0,1987-12-13,50
0,1987-12-14,50
0,1987-12-15,50
0,1987-12-16,50
0,1987-12-17,50
0,1987-12-18,50
0,1987-12-19,50
0,1987-12-20,50
0,1987-12-21,50
0,1987-12-22,50
0,1987-12-23,50
0,1987-12-24,50
0,1987-12-25,50
0,1987-12-26,50
0,1987-12-27,50
0,1987-12-28,50
0,1987-12-29,50
0,1987-12-30,50
0,1987-12-31,50
0,1988-01-01,50
0,1988-01-02,50
0,1988-01-03,50
0,1988-01-04,50
0,1988-01-05,50
0,1988-01-06,50
0,1988-01-07,50
0,1988-01-08,50
0,1988-01-09,50
0,1988-01-10,50
0,1988-01-11,50
0,1988-01-12,50
0,1988-01-13,50
0,1988-01-14,50
0,1988-01-15,50
0,1988-01-16,50
0,1988-01-17,50
0,1988-01-18,50
0,1988-01-19,50
0,1988-01-20,50
0,1988-01-21,50
0,1988-01-22,50
0,1988-01-23,50
0,1988-01-24,50
0,1988-01-25,50
0,1988-01-26,50
0,1988-01-27,50
0,1988-01-28,50
0,1988-01-29,50
0,1988-01-30,50
0,1988-01-31,50
0,1988-02-01,50
0,1988-02-02,50
0,1988-02-03,50
0,1988-02-04,50
0,1988-02-05,50
0,1988-02-06,50
0,1988-02-07,50
0,1988-02-08,50
0,1988-02-09,50
0,1988-02-10,50
0,1988-02-11,50
0,1988-02-12,50
0,1988-02-13,50
0,1988-02-14,50
0,1988-02-15,50
0,1988-02-16,50
0,1988-02-17,50
0,1988-02-18,50
0,1988-02-19,50
0,1988-02-20,50
0,1988-02-21,50
0,1988-02-22,50
0,1988-02-23,50
0,1988-02-24,50
0,1988-02-25,50
0,1988-02-26,50
0,1988-02-27,50
0,1988-02-28,50
0,1988-02-29,50
0,1988-03-01,50
0,1988-03-02,50
2,1987-12-18,50
2,1987-12-19,50
2,1987-12-20,50
2,1987-12-21,50
2,1987-12-22,50
2,1987-12-23,50
2,1987-12-24,50
2,1987-12-25,50
2,1987-12-26,50
2,1987-12-27,50
2,1987-12-28,50
2,1987-12-29,50
2,1987-12-30,50
2,1987-12-31,50
2,1988-01-01,50
2,1988-01-02,50
2,1988-01-03,50
2,1988-01-04,50
2,1988-01-05,50
2,1988-01-06,50
2,1988-01-07,50
2,1988-01-08,50
2,1988-01-09,50
2,1988-01-10,50
2,1988-01-11,50
2,1988-01-12,50
2,1988-01-13,50
2,1988-01-14,50
2,1988-01-15,50
2,1988-01-16,50
2,1988-01-17,50
2,1988-01-18,50
2,1988-01-19,50
2,1988-01-20,50
2,1988-01-21,50
2,1988-01-22,50
2,1988-01-23,50
2,1988-01-24,50
2,1988-01-25,50
2,1988-01-26,50
2,1988-01-27,50
2,1988-01-28,50
2,1988-01-29,50
2,1988-01-30,50
2,1988-01-31,50
2,1988-02-01,50
2,1988-02-02,50
2,1988-02-03,50
2,1988-02-04,50
2,1988-02-05,50
2,1988-02-06,50
2,1988-02-07,50
2,1988-02-08,50
2,1988-02-09,50
2,1988-02-10,50
2,1988-02-11,50
2,1988-02-12,50
2,1988-02-13,50
2,1988-02-14,50
2,1988-02-15,50
2,1988-02-16,50
2,1988-02-17,50
2,1988-02-18,50
2,1988-02-19,50
2,1988-02-20,50
2,1988-02-21,50
2,1988-02-22,50
2,1988-02-23,50
2,1988-02-24,50
2,1988-02-25,50
2,1988-02-26,50
2,1988-02-27,50
2,1988-02-28,50
2,1988-02-29,50
2,1988-03-01,50
2,1988-03-02,50
2,1988-03-03,50
2,1988-03-04,50
2,1988-03-05,50
2,1988-03-06,50
2,1988-03-07,50
2,1988-03-08,50
2,1988-03-09,50
2,1988-03-10,50
2,1988-03-11,50
2,1988-03-12,50
2,1988-03-13,50
2,1988-03-14,50
2,1988-03-15,50
3,1987-09-10,50
3,1987-09-11,50
3,1987-09-12,50
3,1987-09-13,50
3,1987-09-14,50
3,1987-09-15,50
3,1987-09-16,50
3,1987-09-17,50
3,1987-09-18,50
3,1987-09-19,50
3,1987-09-20,50
3,1987-09-21,50
3,1987-09-22,50
3,1987-09-23,50
3,1987-09-24,50
3,1987-09-25,50
3,1987-09-26,50
3,1987-09-27,50
3,1987-09-28,50
3,1987-09-29,50
3,1987-09-30,50
3,1987-10-01,50
3,1987-10-02,50
3,1987-10-03,50
3,1987-10-04,50
3,1987-10-05,50
3,1987-10-06,50
3,1987-10-07,50
3,1987-10-08,50
3,1987-10-09,50
3,1987-10-10,50
3,1987-10-11,50
3,1987-10-12,50
3,1987-10-13,50
3,1987-10-14,50
3,1987-10-15,50
3,1987-10-16,50
3,1987-10-17,50
3,1987-10-18,50
3,1987-10-19,50
3,1987-10-20,50
3,1987-10-21,50
3,1987-10-22,50
3,1987-10-23,50
3,1987-10-24,50
3,1987-10-25,50
3,1987-10-26,50
3,1987-10-27,50
3,1987-10-28,50
3,1987-10-29,50
3,1987-10-30,50
3,1987-10-31,50
3,1987-11-01,50
3,1987-11-02,50
3,1987-11-03,50
3,1987-11-04,50
3,1987-11-05,50
3,1987-11-06,50
3,1987-11-07,50
3,1987-11-08,50
3,1987-11-09,50
3,1987-11-10,50
3,1987-11-11,50
3,1987-11-12,50
3,1987-11-13,50
3,1987-11-14,50
3,1987-11-15,50
3,1987-11-16,50
3,1987-11-17,50
3,1987-11-18,50
3,1987-11-19,50
3,1987-11-20,50
3,1987-11-21,50
3,1987-11-22,50
3,1987-11-23,50
3,1987-11-24,50
3,1987-11-25,50
3,1987-11-26,50
3,1987-11-27,50
3,1987-11-28,50
3,1987-11-29,50
3,1987-11-30,50
3,1987-12-01,50
3,1987-12-02,50
3,1987-12-03,50
3,1987-12-04,50
3,1987-12-05,50
3,1987-12-06,50
3,1987-12-07,50
4,1987-08-25,50
4,1987-08-26,50
4,1987-08-27,50
4,1987-08-28,50
4,1987-08-29,50
4,1987-08-30,50
4,1987-08-31,50
4,1987-09-01,50
4,1987-09-02,50
4,1987-09-03,50
4,1987-09-04,50
4,1987-09-05,50
4,1987-09-06,50
4,1987-09-07,50
4,1987-09-08,50
4,1987-09-09,50
4,1987-09-10,50
4,1987-09-11,50
4,1987-09-12,50
4,1987-09-13,50
4,1987-09-14,50
4,1987-09-15,50
4,1987-09-16,50
4,1987-09-17,50
4,1987-09-18,50
4,1987-09-19,50
4,1987-09-20,50
4,1987-09-21,50
4,1987-09-22,50
4,1987-09-23,50
